"id","symbol","signal","work","work_spot","created_at","updated_at","deleted_at"
"483","XRPUSDT","buy","1","1","2025-07-26 20:42:05","2025-09-04 16:41:45",""
"484","XRPUSDT","buy","1","1","2025-07-26 20:43:01","2025-09-04 16:41:45",""
"487","XRPUSDT","buy","1","1","2025-07-26 20:45:01","2025-09-04 16:41:45",""
"494","XRPUSDT","buy","1","1","2025-07-26 21:10:01","2025-09-04 16:41:45",""
"496","XRPUSDT","sell","1","1","2025-07-26 21:20:01","2025-09-04 16:41:45",""
"507","XRPUSDT","sell","1","1","2025-07-26 21:49:00","2025-09-04 16:41:45",""
"509","XRPUSDT","sell","1","1","2025-07-26 21:50:01","2025-09-04 16:41:45",""
"512","XRPUSDT","buy","1","1","2025-07-26 22:02:02","2025-09-04 16:41:45",""
"520","XRPUSDT","sell","1","1","2025-07-26 22:39:02","2025-09-04 16:41:45",""
"521","XRPUSDT","sell","1","1","2025-07-26 22:42:00","2025-09-04 16:41:45",""
"533","XRPUSDT","buy","1","1","2025-07-26 23:04:01","2025-09-04 16:41:45",""
"537","XRPUSDT","sell","1","1","2025-07-26 23:11:02","2025-09-04 16:41:45",""
"540","XRPUSDT","buy","1","1","2025-07-26 23:29:01","2025-09-04 16:41:45",""
"545","XRPUSDT","sell","1","1","2025-07-26 23:48:02","2025-09-04 16:41:45",""
"546","XRPUSDT","sell","1","1","2025-07-26 23:53:02","2025-09-04 16:41:45",""
"547","XRPUSDT","sell","1","1","2025-07-26 23:54:01","2025-09-04 16:41:45",""
"550","XRPUSDT","buy","1","1","2025-07-27 00:14:01","2025-09-04 16:41:45",""
"558","XRPUSDT","sell","1","1","2025-07-27 00:26:02","2025-09-04 16:41:45",""
"559","XRPUSDT","sell","1","1","2025-07-27 00:27:02","2025-09-04 16:41:45",""
"560","XRPUSDT","sell","1","1","2025-07-27 00:28:03","2025-09-04 16:41:45",""
"561","XRPUSDT","sell","1","1","2025-07-27 00:29:00","2025-09-04 16:41:45",""
"563","XRPUSDT","sell","1","1","2025-07-27 00:51:02","2025-09-04 16:41:45",""
"569","XRPUSDT","sell","1","1","2025-07-27 01:01:00","2025-09-04 16:41:45",""
"570","XRPUSDT","sell","1","1","2025-07-27 01:04:00","2025-09-04 16:41:45",""
"571","XRPUSDT","sell","1","1","2025-07-27 01:06:01","2025-09-04 16:41:45",""
"578","XRPUSDT","sell","1","1","2025-07-27 01:18:00","2025-09-04 16:41:45",""
"579","XRPUSDT","sell","1","1","2025-07-27 01:19:00","2025-09-04 16:41:45",""
"580","XRPUSDT","sell","1","1","2025-07-27 01:20:01","2025-09-04 16:41:45",""
"582","XRPUSDT","buy","1","1","2025-07-27 01:35:00","2025-09-04 16:41:45",""
"585","XRPUSDT","buy","1","1","2025-07-27 01:37:02","2025-09-04 16:41:45",""
"587","XRPUSDT","buy","1","1","2025-07-27 02:03:00","2025-09-04 16:41:45",""
"588","XRPUSDT","buy","1","1","2025-07-27 02:06:00","2025-09-04 16:41:45",""
"595","XRPUSDT","sell","1","1","2025-07-27 02:24:00","2025-09-04 16:41:45",""
"599","XRPUSDT","sell","1","1","2025-07-27 02:25:15","2025-09-04 16:41:45",""
"604","XRPUSDT","buy","1","1","2025-07-27 02:44:01","2025-09-04 16:41:45",""
"616","XRPUSDT","sell","1","1","2025-07-27 03:06:01","2025-09-04 16:41:45",""
"622","XRPUSDT","buy","1","1","2025-07-27 03:17:00","2025-09-04 16:41:45",""
"625","XRPUSDT","buy","1","1","2025-07-27 03:20:01","2025-09-04 16:41:45",""
"630","XRPUSDT","sell","1","1","2025-07-27 03:50:00","2025-09-04 16:41:45",""
"640","XRPUSDT","sell","1","1","2025-07-27 04:31:00","2025-09-04 16:41:45",""
"641","XRPUSDT","sell","1","1","2025-07-27 04:32:00","2025-09-04 16:41:45",""
"645","XRPUSDT","sell","1","1","2025-07-27 04:44:01","2025-09-04 16:41:45",""
"647","XRPUSDT","sell","1","1","2025-07-27 04:45:01","2025-09-04 16:41:45",""
"649","XRPUSDT","sell","1","1","2025-07-27 04:46:04","2025-09-04 16:41:45",""
"656","XRPUSDT","buy","1","1","2025-07-27 05:08:02","2025-09-04 16:41:45",""
"659","XRPUSDT","buy","1","1","2025-07-27 05:26:00","2025-09-04 16:41:45",""
"660","XRPUSDT","buy","1","1","2025-07-27 05:27:03","2025-09-04 16:41:45",""
"664","XRPUSDT","buy","1","1","2025-07-27 05:30:01","2025-09-04 16:41:45",""
"679","XRPUSDT","sell","1","1","2025-07-27 06:31:02","2025-09-04 16:41:45",""
"689","XRPUSDT","sell","1","1","2025-07-27 06:51:02","2025-09-04 16:41:45",""
"691","XRPUSDT","sell","1","1","2025-07-27 06:53:08","2025-09-04 16:41:45",""
"693","XRPUSDT","sell","1","1","2025-07-27 06:57:00","2025-09-04 16:41:45",""
"696","XRPUSDT","sell","1","1","2025-07-27 06:58:26","2025-09-04 16:41:45",""
"698","XRPUSDT","sell","1","1","2025-07-27 07:09:01","2025-09-04 16:41:45",""
"699","XRPUSDT","sell","1","1","2025-07-27 07:10:01","2025-09-04 16:41:45",""
